"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @dina_ep: Final panel @EMODnet conf: comms &amp; promotion critical to success of #EMODnet Link w. #data users + acquire new data #Opendata…",FALSE,0,NA,2017-02-16 11:49:42,FALSE,NA,"832195245139968000",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ayozec",6,TRUE,FALSE,NA,NA
"RT @linuxaustralia: There's $AUD 35k in our 2017 #grant program for #opensource, #openhardware, #opendata and #opengov projects! Pls RT htt…",FALSE,0,NA,2017-02-16 11:48:00,FALSE,NA,"832194816779759616",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lwinko3",20,TRUE,FALSE,NA,NA
"RT @greenvincent: Pour en savoir + sur l'état des villes en matière d'#OpenData, de #Mobilité et d'#EcoCollab, suivez : @LeLabOSC (bientôt…",FALSE,0,NA,2017-02-16 11:47:45,FALSE,NA,"832194752292462592",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","labyrinthemag",5,TRUE,FALSE,NA,NA
"RT @odi_madrid: Usando #datos para explicar el nivel de vida de los europeos #dataviz #opendata #niveldevida #Eurostat https://t.co/5RKWuLJ…",FALSE,0,NA,2017-02-16 11:47:18,FALSE,NA,"832194639801221120",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","marmegal80",5,TRUE,FALSE,NA,NA
"RT @okfde: Unsere Analyse des #OpenData-Gesetzes: Die #Transparenz fliegt raus
https://t.co/uJl3jARLQm https://t.co/q29KxRXVrv",FALSE,0,NA,2017-02-16 11:46:58,FALSE,NA,"832194559128002560",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","Cyrus_McDugan",40,TRUE,FALSE,NA,NA
"RT @Moedas: @EU_Commission made #opendata the default in #H2020 starting in 2017. The exception is now the rule! I believe we should lead b…",FALSE,0,NA,2017-02-16 11:46:46,FALSE,NA,"832194505600331776",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ICTcreativityEU",52,TRUE,FALSE,NA,NA
"RT @okfde: Unsere Analyse des #OpenData-Gesetzes: Die #Transparenz fliegt raus
https://t.co/uJl3jARLQm https://t.co/q29KxRXVrv",FALSE,0,NA,2017-02-16 11:45:59,FALSE,NA,"832194308296024065",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","bigblueyonder1",40,TRUE,FALSE,NA,NA
"Per accedir als certificats avançats en #DadesObertes pots fer un test i saber quin nivell tens!… https://t.co/PXqBErKOFZ",FALSE,0,NA,2017-02-16 11:45:01,TRUE,NA,"832194065269665792",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","iopendatabcn",0,FALSE,FALSE,NA,NA
"RT @EnvAgency: Come rain or shine we monitor rainfall &amp; river levels across country. Our rainfall #data now available as #opendata https://…",FALSE,0,NA,2017-02-16 11:43:47,FALSE,NA,"832193757516808192",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ODIHQ",30,TRUE,FALSE,NA,NA
"RT @Moedas: @EU_Commission made #opendata the default in #H2020 starting in 2017. The exception is now the rule! I believe we should lead b…",FALSE,0,NA,2017-02-16 11:43:28,FALSE,NA,"832193678001180672",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DrAndreDavid",52,TRUE,FALSE,NA,NA
"Ecco una parte della nostra presentazione per il nostro ODD... #ASOC #OpenData #opencoesione https://t.co/yXFx8tQDnI",FALSE,1,NA,2017-02-16 11:42:04,FALSE,NA,"832193323729293312",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","4g_ImolaPaolini",0,FALSE,FALSE,NA,NA
"Open Access research from NASA dealing with space exploration, technology and climate change. https://t.co/zr92pTNuT5 #opendata #openscience",FALSE,0,NA,2017-02-16 11:40:49,FALSE,NA,"832193009483644929",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","odi_rio",0,FALSE,FALSE,NA,NA
